Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Ian Kinsler,Tigers,675,6.4%,11.9%,0.54,0.296,0.342,0.428,0.770,0.131,5.4,0.323,1.6,-0.4,-0.7,87,11.5,0.335,110,6195
Kyle Seager,Mariners,686,7.9%,14.3%,0.55,0.266,0.328,0.451,0.779,0.185,2.6,0.278,-0.5,-1.2,-1.5,89,11.7,0.335,115,9785
Adam Jones,Orioles,581,4.1%,17.6%,0.24,0.269,0.308,0.474,0.782,0.205,3.8,0.286,1.2,-1.1,0.0,75,9.7,0.334,111,6368
Gerardo Parra,- - -,589,4.8%,15.6%,0.30,0.291,0.328,0.452,0.780,0.161,6.1,0.325,-0.5,1.7,1.0,76,9.8,0.334,109,8553
Odubel Herrera,Phillies,537,5.2%,24.0%,0.22,0.297,0.344,0.418,0.762,0.121,5.3,0.387,1.8,0.7,-0.2,69,8.6,0.333,111,11476
Albert Pujols,Angels,661,7.6%,10.9%,0.69,0.244,0.307,0.480,0.787,0.236,2.7,0.217,-3.8,-0.7,-0.4,85,10.5,0.333,114,1177
Dexter Fowler,Cubs,690,12.2%,22.3%,0.55,0.250,0.346,0.411,0.757,0.161,6.6,0.308,-2.4,1.4,0.9,88,10.8,0.333,109,4062
Brandon Crawford,Giants,561,7.0%,21.2%,0.33,0.256,0.321,0.462,0.782,0.205,4.5,0.294,1.5,-2.1,-0.6,71,8.3,0.332,113,5343
Matt Duffy,Giants,612,4.9%,15.7%,0.31,0.295,0.334,0.428,0.762,0.133,6.0,0.336,4.4,-2.0,2.1,78,8.8,0.331,113,13836
Carlos Santana,Indians,666,16.2%,18.3%,0.89,0.231,0.357,0.395,0.752,0.164,3.9,0.261,1.6,-1.2,0.7,84,9.2,0.331,107,2396
DJ LeMahieu,Rockies,620,8.1%,17.3%,0.47,0.301,0.358,0.388,0.746,0.087,6.4,0.362,2.2,-2.2,3.1,77,7.0,0.327,91,9874
Mark Trumbo,- - -,545,6.6%,24.2%,0.27,0.262,0.310,0.449,0.759,0.187,2.5,0.313,-2.3,0.5,-0.2,67,6.1,0.327,107,6876
Brett Gardner,Yankees,656,10.4%,20.6%,0.50,0.259,0.343,0.399,0.742,0.140,5.7,0.312,2.0,1.7,1.7,81,7.2,0.327,106,9927
Nick Markakis,Braves,686,10.2%,12.1%,0.84,0.296,0.370,0.376,0.746,0.080,2.3,0.338,0.1,-1.6,-0.4,85,7.5,0.327,106,5930
Brian McCann,Yankees,535,9.7%,18.1%,0.54,0.232,0.320,0.437,0.756,0.204,2.0,0.235,-4.4,1.3,-0.2,66,5.8,0.327,106,4810
Evan Longoria,Rays,670,7.6%,19.7%,0.39,0.270,0.328,0.435,0.764,0.166,2.6,0.309,-0.3,1.4,-0.1,82,7.1,0.327,109,9368
Matt Kemp,Padres,648,6.0%,22.7%,0.27,0.265,0.312,0.443,0.755,0.178,5.1,0.311,-0.3,0.0,1.3,79,6.1,0.325,109,5631
Ender Inciarte,Diamondbacks,561,4.6%,10.3%,0.45,0.303,0.338,0.408,0.747,0.105,6.0,0.329,2.8,0.3,0.0,68,5.2,0.325,99,4922
Neil Walker,Pirates,603,7.3%,18.2%,0.40,0.269,0.328,0.427,0.756,0.158,3.9,0.306,1.9,0.7,0.1,73,5.6,0.325,106,7539
Daniel Murphy,Mets,538,5.8%,7.1%,0.82,0.281,0.322,0.449,0.770,0.168,2.7,0.278,0.9,-0.8,-0.6,65,4.9,0.325,109,4316
Yangervis Solarte,Padres,571,6.0%,9.8%,0.61,0.270,0.320,0.428,0.748,0.158,3.4,0.279,-3.3,-1.3,-0.1,69,5.1,0.324,109,5352
Brian Dozier,Twins,704,8.7%,21.0%,0.41,0.236,0.307,0.444,0.751,0.209,5.6,0.261,1.6,0.7,0.6,85,5.4,0.323,101,9810
Jhonny Peralta,Cardinals,640,7.8%,17.3%,0.45,0.275,0.334,0.411,0.745,0.136,1.8,0.311,-3.6,-1.6,-1.7,77,4.8,0.323,105,1738
Brock Holt,Red Sox,509,9.0%,19.1%,0.47,0.280,0.349,0.379,0.727,0.099,5.8,0.350,3.7,0.6,0.9,61,3.4,0.322,99,9345
Trevor Plouffe,Twins,632,7.9%,19.6%,0.40,0.244,0.307,0.435,0.742,0.190,3.6,0.274,1.8,-3.1,-0.3,75,4.0,0.321,100,7462
Asdrubal Cabrera,Rays,551,6.5%,19.4%,0.34,0.265,0.315,0.430,0.744,0.164,5.0,0.306,1.5,-1.0,-0.2,64,2.4,0.319,103,4962
Martin Prado,Marlins,551,6.7%,12.3%,0.54,0.288,0.338,0.394,0.732,0.106,2.5,0.313,-0.6,0.6,-0.1,64,2.0,0.318,102,3312
Billy Burns,Athletics,555,4.7%,14.6%,0.32,0.294,0.334,0.392,0.726,0.098,7.2,0.339,2.7,0.9,1.8,64,1.7,0.317,102,12701
Kole Calhoun,Angels,686,6.6%,23.9%,0.27,0.256,0.308,0.422,0.731,0.167,3.4,0.304,0.9,2.2,0.1,79,2.1,0.317,103,11200
Evan Gattis,Astros,604,5.0%,19.7%,0.25,0.246,0.285,0.463,0.748,0.217,3.9,0.264,-1.8,-0.2,-0.6,70,1.8,0.317,103,11003
Marlon Byrd,- - -,544,5.3%,26.7%,0.20,0.247,0.290,0.453,0.743,0.206,3.9,0.297,0.3,0.2,-0.2,63,1.6,0.317,100,950
Ben Revere,- - -,634,5.0%,10.1%,0.50,0.306,0.342,0.377,0.719,0.071,6.9,0.338,3.2,1.5,3.1,72,1.2,0.316,98,4712
Brandon Phillips,Reds,623,4.3%,10.9%,0.40,0.294,0.328,0.395,0.723,0.100,5.4,0.315,1.4,-0.7,3.1,71,1.1,0.315,97,791
Billy Butler,Athletics,601,8.7%,16.8%,0.51,0.251,0.323,0.390,0.713,0.139,1.8,0.282,-6.6,-4.2,-0.3,67,-0.9,0.311,98,7399
Marcus Semien,Athletics,601,7.0%,22.0%,0.32,0.257,0.310,0.405,0.715,0.147,5.5,0.312,1.8,-1.0,0.0,66,-1.1,0.311,97,12533
Nicholas Castellanos,Tigers,595,6.6%,25.5%,0.26,0.255,0.303,0.419,0.721,0.164,2.7,0.322,-1.9,-3.1,-1.4,66,-1.2,0.311,94,11737
