last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,n_bolts,hp_to_1b,sprint_speed,OPS_Plus_Name,OPS_Plus,UBR_Name,UBR,wRC_Plus_Name,wRC_Plus
Marte, Starling,2018.0,0.27,0.46299999999999997,0.341,0.322,0.19399999999999998,88.4,8.7,31.5,34.0,7.5,6.2,22.0,20.3,37.2,4.8,38.8,75.0,15.8,33.3,43.0,57.0,165.0,384.0,51.0,1153.0,81.5,7.2,256.0,1360.0,642.0,2267.0,84.2,131.0,830.0,49.0,1107.0,42.1,951.0,24.3,53.7,37.4,37.7,24.9,454.0,63.5,51.5,234.0,21.6,98.0,20.7,94.0,6.2,28.0,47.0,4.13,28.6,Starling Marte\martest01,114.0, Marte,2.2, Marte,112.0
Martinez, J.D.,2018.0,0.313,0.626,0.425,0.38799999999999996,0.314,93.0,10.6,40.0,69.0,16.0,8.8,24.9,15.6,32.8,1.6,52.8,74.6,20.8,29.3,44.6,55.4,176.0,395.0,53.6,1348.0,88.0,7.0,299.0,1468.0,748.0,2519.0,79.2,181.0,872.0,46.4,1169.0,43.0,1082.0,28.2,50.3,36.0,33.0,30.9,430.0,59.5,44.4,191.0,25.6,110.0,27.9,120.0,2.1,9.0,0.0,4.45,26.8,J.D. Martinez\martijd02,173.0, Martinez,-2.1, Martinez,170.0
Martinez, Jose,2018.0,0.309,0.523,0.387,0.369,0.214,91.0,8.1,37.5,41.0,9.4,7.6,26.2,17.2,37.7,1.4,44.6,63.7,14.3,26.1,36.4,63.6,120.0,330.0,53.6,1263.0,74.1,7.0,226.0,1481.0,644.0,2358.0,85.7,100.0,697.0,46.4,1095.0,41.4,976.0,21.4,43.6,26.2,39.8,34.0,435.0,58.8,46.9,204.0,19.3,84.0,30.8,134.0,3.0,13.0,3.0,4.51,26.5,Jose Martinez\martijo08,124.0, Martinez,0.1, Martinez,126.0
Martinez, Victor,2018.0,0.27,0.418,0.32,0.318,0.14800000000000002,87.8,14.1,35.3,20.0,4.7,5.2,28.9,28.7,29.4,2.8,30.6,68.4,9.3,31.9,23.9,76.1,77.0,322.0,52.9,1008.0,82.3,6.8,369.0,1131.0,396.0,1908.0,90.7,57.0,615.0,47.1,899.0,43.5,830.0,14.3,49.1,39.5,35.1,25.4,425.0,57.5,41.6,177.0,24.9,106.0,26.6,113.0,6.8,29.0,0.0,4.87,23.2,Victor Martinez#\martivi01,76.0, Martinez,-0.5, Martinez,74.0
Mauer, Joe,2018.0,0.298,0.455,0.359,0.36700000000000005,0.157,91.1,4.5,36.9,20.0,5.0,7.2,31.4,12.6,39.1,1.7,44.3,49.7,8.4,19.3,35.1,64.9,71.0,202.0,47.6,1048.0,56.0,7.2,214.0,1529.0,456.0,2257.0,91.6,48.0,572.0,52.4,1152.0,44.0,968.0,15.1,35.3,24.5,42.3,33.2,404.0,60.4,52.2,211.0,16.3,66.0,29.7,120.0,1.7,7.0,0.0,4.57,26.0,Joe Mauer*\mauerjo01,100.0, Mauer,0.6, Mauer,100.0
Mazara, Nomar,2018.0,0.264,0.44799999999999995,0.33799999999999997,0.325,0.184,90.5,5.3,28.2,32.0,8.5,6.4,23.1,17.0,42.3,2.7,43.4,62.8,16.9,32.2,39.2,60.8,150.0,383.0,54.4,1190.0,71.9,6.4,297.0,1268.0,621.0,2187.0,83.1,106.0,626.0,45.6,997.0,42.4,927.0,25.4,46.1,33.2,41.2,25.5,376.0,56.7,55.1,207.0,19.1,72.0,20.5,77.0,5.3,20.0,0.0,4.32,26.8,Nomar Mazara*\mazarno01,96.0, Mazara,-0.3, Mazara,95.0
McCutchen, Andrew,2018.0,0.266,0.45399999999999996,0.368,0.37799999999999995,0.18899999999999997,90.1,13.4,36.4,36.0,8.4,7.9,24.8,24.6,32.3,2.1,42.1,62.1,18.7,15.9,38.7,61.3,86.0,222.0,48.3,1395.0,75.8,7.7,308.0,1749.0,826.0,2889.0,81.3,173.0,927.0,51.7,1493.0,43.6,1258.0,22.5,39.8,42.5,37.1,20.4,431.0,56.0,42.2,182.0,23.9,103.0,28.5,123.0,5.3,23.0,14.0,4.32,28.7,Andrew McCutchen\mccutan01,120.0, McCutchen,-4.2, McCutchen,121.0
Merrifield, Whit,2018.0,0.28300000000000003,0.43700000000000006,0.349,0.35200000000000004,0.154,87.0,16.9,40.9,24.0,4.6,6.8,30.8,26.2,27.9,2.1,31.2,67.3,14.1,28.9,30.3,69.7,122.0,402.0,51.1,1392.0,75.7,8.3,224.0,1662.0,837.0,2733.0,85.9,126.0,896.0,48.9,1331.0,41.5,1131.0,19.1,47.7,31.9,36.7,31.4,526.0,59.1,35.9,189.0,24.5,129.0,31.0,163.0,8.6,45.0,27.0,4.23,29.0,Whit Merrifield\merriwh01,120.0, Merrifield,3.1, Merrifield,119.0
Molina, Yadier,2018.0,0.271,0.44299999999999995,0.33799999999999997,0.325,0.172,88.2,15.4,37.6,22.0,5.5,7.0,26.8,27.8,28.8,3.8,33.8,70.4,13.3,35.3,25.0,75.0,88.0,352.0,50.6,997.0,74.0,6.7,186.0,1225.0,555.0,1969.0,86.7,91.0,684.0,49.4,972.0,41.0,808.0,17.3,52.6,45.4,33.8,20.8,399.0,64.0,40.4,161.0,25.8,103.0,27.1,108.0,6.8,27.0,0.0,4.91,22.9,Yadier Molina\molinya01,103.0, Molina,-1.5, Molina,105.0
Moncada, Yoan,2018.0,0.21600000000000003,0.38799999999999996,0.303,0.298,0.172,91.0,15.4,36.4,35.0,9.6,8.2,22.5,27.7,30.4,0.5,44.2,62.3,22.8,20.3,56.0,44.0,154.0,275.0,50.6,1354.0,82.3,7.0,472.0,1554.0,647.0,2679.0,77.2,188.0,823.0,49.4,1321.0,43.6,1167.0,31.1,41.0,39.5,35.1,25.5,365.0,61.2,38.1,139.0,27.1,99.0,28.2,103.0,6.6,24.0,21.0,4.2,28.8,Yoan Moncada#\moncayo01,96.0, Moncada,0.9, Moncada,97.0
